Date,Price,Open,High,Low,Vol.,Change %
09/08/2017,204.41,204.15,205.18,203.79,,0.00%
09/07/2017,204.42,203.11,204.8,203.06,,0.76%
09/06/2017,202.88,203.13,203.9,202.67,,0.10%
09/05/2017,202.68,202.9,203.43,201.42,,-0.07%
09/01/2017,202.82,203.21,203.64,202.58,,-0.08%
08/31/2017,202.98,202.38,203.56,202.1,,0.52%
08/30/2017,201.94,200.68,201.94,199.96,,0.49%
08/29/2017,200.96,200.85,201.72,200.85,,-0.07%
08/28/2017,201.11,202.23,202.42,200.51,,-0.44%
08/25/2017,202.0,201.82,202.8,201.22,,0.41%
08/24/2017,201.17,202.03,202.88,201.1,,-0.15%
08/23/2017,201.48,199.18,201.77,199.18,,1.03%
08/22/2017,199.42,199.76,200.33,198.63,,-0.11%
08/21/2017,199.64,197.66,199.96,197.39,,1.07%
08/18/2017,197.53,198.54,198.54,197.04,,-0.74%
08/17/2017,199.01,200.31,200.85,199.01,,-0.73%
08/16/2017,200.47,200.26,201.19,200.25,,0.28%
08/15/2017,199.92,200.11,200.11,198.66,,-0.33%
08/14/2017,200.59,198.01,200.74,197.88,,1.70%
08/11/2017,197.23,198.33,198.53,196.43,,-0.61%
08/10/2017,198.45,199.96,200.02,198.45,,-0.92%
08/09/2017,200.3,200.11,200.51,199.34,,0.13%
08/08/2017,200.04,200.52,201.02,199.46,,-0.53%
08/07/2017,201.1,201.19,201.42,200.2,,0.00%
08/04/2017,201.11,200.5,201.57,200.45,,0.26%
08/03/2017,200.59,200.88,201.67,199.97,,-0.26%
08/02/2017,201.12,201.69,201.69,200.45,,-0.45%
08/01/2017,202.02,202.38,202.91,200.47,,0.39%
07/31/2017,201.24,201.52,201.64,199.87,,-0.12%
07/28/2017,201.48,201.7,202.36,200.9,,-0.10%
07/27/2017,201.68,201.19,202.33,199.69,,-0.10%
07/26/2017,201.88,200.34,202.38,199.87,,0.81%
07/25/2017,200.25,200.39,200.39,198.93,,0.06%
07/24/2017,200.12,200.44,200.55,199.28,,-0.15%
07/21/2017,200.42,199.9,200.54,199.49,,0.24%
07/20/2017,199.94,200.73,201.18,199.92,,-0.32%
07/19/2017,200.59,199.14,200.59,198.52,,0.74%
07/18/2017,199.12,199.13,199.9,198.74,,-0.11%
07/17/2017,199.34,198.81,199.68,198.38,,0.21%
07/14/2017,198.92,197.63,199.13,197.63,,1.06%
07/13/2017,196.84,196.41,197.32,196.28,,0.20%
07/12/2017,196.44,195.15,197.18,195.15,,1.30%
07/11/2017,193.92,194.5,194.55,192.8,,-0.20%
07/10/2017,194.31,196.28,196.4,194.31,,-0.86%
07/07/2017,196.0,195.05,196.42,194.83,,0.65%
07/06/2017,194.74,197.63,197.63,194.58,,-1.88%
07/05/2017,198.48,200.83,200.88,197.89,,-1.20%
07/03/2017,200.89,199.73,201.19,199.11,,0.94%
06/30/2017,199.01,199.64,200.53,198.51,,-0.03%
06/29/2017,199.07,200.3,200.3,198.8,,-1.04%
06/28/2017,201.16,201.53,201.88,200.81,,-0.03%
06/27/2017,201.22,201.93,203.18,201.2,,-0.38%
06/26/2017,201.99,201.63,202.82,201.5,,0.47%
06/23/2017,201.05,200.4,201.88,200.29,,0.39%
06/22/2017,200.26,199.9,200.76,199.29,,0.05%
06/21/2017,200.15,200.62,200.81,199.05,,-0.23%
06/20/2017,200.61,201.08,201.65,199.27,,-0.20%
06/19/2017,201.02,200.98,201.06,200.12,,0.13%
