Date,Price,Open,High,Low,Vol.,Change %
07/18/2017,265.28,264.79,265.68,264.57,,0.28%
07/17/2017,264.55,263.66,264.62,263.08,,0.39%
07/14/2017,263.52,263.35,264.59,263.16,,0.54%
07/13/2017,262.1,262.98,263.67,262.04,,-0.35%
07/12/2017,263.03,263.11,263.87,262.69,,0.85%
07/11/2017,260.82,261.27,261.42,259.6,,-0.03%
07/10/2017,260.9,261.72,262.56,260.86,,-0.16%
07/07/2017,261.32,260.98,262.49,260.79,,0.14%
07/06/2017,260.95,260.87,261.3,260.16,,-0.13%
07/05/2017,261.3,262.33,262.57,260.48,,-0.40%
07/03/2017,262.35,264.44,264.75,262.19,,-0.54%
06/30/2017,263.77,264.4,265.8,263.76,,-0.12%
06/29/2017,264.1,265.1,265.1,263.17,,-0.82%
06/28/2017,266.28,269.71,269.9,266.05,,-0.95%
06/27/2017,268.83,271.33,271.63,268.35,,-1.25%
06/26/2017,272.24,270.32,273.58,269.9,,0.78%
06/23/2017,270.14,271.03,272.21,269.68,,-0.36%
06/22/2017,271.12,272.06,272.99,271.0,,-0.43%
06/21/2017,272.3,274.07,274.36,271.05,,-0.64%
06/20/2017,274.06,274.11,274.42,273.6,,0.05%
06/19/2017,273.92,275.0,275.11,272.99,,-0.37%
06/16/2017,274.95,273.79,275.34,273.79,,0.48%
06/15/2017,273.63,271.92,273.83,271.32,,0.56%
06/14/2017,272.1,272.31,273.5,271.22,,0.59%
06/13/2017,270.5,269.82,270.79,269.03,,0.16%
06/12/2017,270.06,270.62,271.95,268.45,,-0.22%
06/09/2017,270.66,270.19,270.75,268.63,,-0.01%
06/08/2017,270.68,272.74,272.74,269.1,,-0.88%
06/07/2017,273.08,272.41,273.69,271.79,,0.31%
06/06/2017,272.24,273.3,273.46,272.02,,-0.18%
06/05/2017,272.72,273.83,273.94,272.62,,-0.48%
06/02/2017,274.03,274.92,274.92,273.06,,0.14%
06/01/2017,273.64,271.56,273.65,270.64,,0.72%
05/31/2017,271.69,270.36,272.56,270.36,,0.47%
05/30/2017,270.43,269.41,271.07,269.06,,0.33%
05/26/2017,269.54,269.63,270.08,269.07,,-0.06%
05/25/2017,269.69,267.89,270.06,267.36,,0.70%
05/24/2017,267.81,266.2,268.07,266.2,,0.68%
05/23/2017,266.01,265.5,267.64,265.47,,0.23%
05/22/2017,265.39,262.59,265.76,262.59,,0.90%
05/19/2017,263.02,262.33,263.05,260.57,,0.32%
